HTTP Code,Download Time,Download Size,URL
07/17/2014 10:54:27 AM,200,0.028,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:54:57 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:55:27 AM,200,0.026,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:55:57 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:56:27 AM,200,1.124,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:56:58 AM,200,0.032,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:57:28 AM,200,0.443,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:57:58 AM,200,0.439,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:58:29 AM,200,0.031,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:58:59 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:59:29 AM,200,0.026,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 10:59:59 AM,200,0.028,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:00:29 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:00:59 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:01:29 AM,200,0.031,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:01:59 AM,200,0.034,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:02:29 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:02:59 AM,200,0.429,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:03:30 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:04:00 AM,200,0.034,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:04:30 AM,200,0.032,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:05:00 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:05:30 AM,200,0.034,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:06:00 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:06:30 AM,200,0.036,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:07:00 AM,200,0.032,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:07:30 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:08:00 AM,200,0.456,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:08:31 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:09:01 AM,200,0.036,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:09:31 AM,200,0.030,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:10:01 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:10:31 AM,200,0.029,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:11:01 AM,200,0.027,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:11:31 AM,200,0.033,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:12:01 AM,200,0.034,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/17/2014 11:12:31 AM,200,0.026,814,http://www.macmillanhighered.com/externals/beingmetasearch/whxbook/predict?prefix=com
