HTTP Code,Download Time,Download Size,URL
07/21/2014 10:34:20 AM,200,1.077,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
,200,0.031,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
,200,0.034,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
,200,0.028,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
,200,0.026,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
,200,0.382,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:34:52 AM,200,0.044,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
,200,0.033,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
,200,0.030,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
,200,2.173,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
,200,0.029,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
,200,1.620,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
HTTP Code,Download Time,Download Size,URL
07/21/2014 10:36:10 AM,200,0.050,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:36:10 AM,200,0.033,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:36:10 AM,200,0.034,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:36:10 AM,200,0.176,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:36:10 AM,200,0.026,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:36:10 AM07/21/2014 10:36:10 AM,200,0.469,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
HTTP Code,Download Time,Download Size,URL
07/21/2014 10:38:19 AM
,200,0.034,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:38:19 AM
,200,0.031,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:38:19 AM
,200,0.026,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:38:19 AM
,200,0.026,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:38:19 AM
,200,0.027,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:38:19 AM
,200,0.338,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
HTTP Code,Download Time,Download Size,URL
07/21/2014 10:39:26 AM,200,0.461,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:39:26 AM,200,0.033,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:39:26 AM,200,0.029,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:39:26 AM,200,0.028,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:39:26 AM,200,0.027,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:39:26 AM,200,0.322,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:39:57 AM,200,0.041,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:39:57 AM,200,0.029,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:39:57 AM,200,0.032,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:39:57 AM,200,0.031,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:39:57 AM,200,0.029,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:39:57 AM,200,0.371,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:40:28 AM,200,0.057,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
07/21/2014 10:40:28 AM,200,0.027,1835,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=co
07/21/2014 10:40:28 AM,200,0.046,814,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=com
07/21/2014 10:40:28 AM,200,0.044,324,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comm
07/21/2014 10:40:28 AM,200,0.194,247,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=comma
07/21/2014 10:40:28 AM,200,0.423,99246,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/search?QTEXT=comma
07/21/2014 10:40:59 AM,200,0.051,4982,http://qa.bedfordstmartins.com/externals/beingmetasearch/whxbook/predict?prefix=c
